                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6415,                 5.6763,                 1.1887,                0.45499,                0.22329,                0.16572,                0.04668,                 2.9299,                 2.8017,                 1.1977,             0.00041595,             0.00041595,             0.00041595
                      2,                 2.8786,                 2.4527,                 1.1817,                0.43572,                0.62489,                0.50027,                0.17884,                 2.2438,                  1.705,                 1.0299,              0.0007914,              0.0007914,              0.0007914
                      3,                 2.4965,                 1.9331,                 1.0678,                0.60398,                0.68666,                0.70458,                0.26003,                 2.2069,                 1.6524,                0.99553,              0.0011256,              0.0011256,              0.0011256
                      4,                 2.3927,                 1.7747,                 1.0458,                0.69666,                0.75278,                0.76424,                0.32643,                 1.9693,                  1.294,                 0.9493,              0.0010644,              0.0010644,              0.0010644
                      5,                 2.2668,                 1.6582,                 1.0148,                0.72431,                0.74218,                0.78878,                0.34588,                 1.9233,                 1.1845,                 0.9342,              0.0010025,              0.0010025,              0.0010025
                      6,                 2.1739,                 1.5399,                  0.987,                0.73185,                0.79433,                0.82788,                0.39674,                 1.8547,                 1.1161,                0.92317,             0.00094062,             0.00094062,             0.00094062
                      7,                  2.126,                 1.4543,                0.98456,                 0.7908,                0.80354,                0.87326,                0.40465,                 1.8939,                 1.0446,                0.92245,             0.00087875,             0.00087875,             0.00087875
                      8,                  2.081,                 1.4007,                0.97569,                0.84023,                0.83015,                0.90601,                0.44755,                 1.7496,                0.97932,                0.90275,             0.00081688,             0.00081688,             0.00081688
                      9,                 2.0513,                 1.3035,                0.96618,                0.87121,                0.83508,                0.93255,                0.44885,                 1.7385,                0.94892,                0.89665,               0.000755,               0.000755,               0.000755
                     10,                 1.9767,                 1.2629,                0.95614,                0.85963,                0.86364,                 0.9378,                0.46806,                 1.7063,                0.90039,                0.89493,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.8094,                 1.1079,                0.92931,                 0.9033,                 0.8795,                0.94132,                0.46853,                 1.7278,                0.89247,                 0.8953,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.7772,                 1.0542,                0.92548,                  0.909,                0.85425,                0.95732,                0.49635,                 1.6316,                0.82707,                0.88753,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.7289,                 1.0052,                0.92203,                0.93057,                0.88248,                 0.9613,                 0.5078,                 1.6509,                  0.833,                0.88702,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.7318,                0.98704,                0.91286,                0.90163,                0.91816,                0.96149,                0.49897,                  1.648,                0.80949,                0.88905,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.6945,                0.94978,                0.90797,                0.88733,                0.92478,                0.96173,                0.49789,                 1.6287,                0.79929,                0.88807,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.6677,                0.92511,                0.90754,                0.89603,                0.92054,                0.96536,                0.51218,                 1.5905,                0.77919,                0.87611,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.6496,                0.90936,                0.90476,                0.91244,                0.90652,                0.96726,                0.52218,                 1.5808,                0.77389,                0.87957,                0.00026,                0.00026,                0.00026
                     18,                 1.6327,                  0.887,                 0.8966,                0.91016,                0.91985,                0.96855,                0.52712,                 1.5776,                0.75485,                0.87367,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.6283,                0.86928,                0.89332,                 0.9256,                0.93312,                0.97473,                0.53544,                  1.558,                0.75222,                0.87146,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.6049,                0.85905,                0.89541,                0.91583,                0.94116,                0.97332,                0.53388,                 1.5581,                0.74341,                 0.8749,             7.4375e-05,             7.4375e-05,             7.4375e-05
