                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7689,                 8.2453,                 3.0604,                0.58482,                0.00484,                0.00505,                0.00096,                 5.4471,                 6.9008,                 2.5457,             0.00041381,             0.00041381,             0.00041381
                      2,                 2.5415,                  2.585,                 1.5923,                 0.6365,                0.64208,                0.63228,                0.23941,                 2.0924,                 1.9437,                 1.3478,             0.00080307,             0.00080307,             0.00080307
                      3,                 2.1677,                 1.9261,                  1.333,                0.67607,                0.79898,                0.80988,                0.37467,                 1.8355,                 1.5197,                 1.2029,              0.0011648,              0.0011648,              0.0011648
                      4,                 2.0397,                 1.6728,                  1.249,                0.78322,                0.86261,                0.90698,                0.39786,                 1.8978,                 1.2773,                 1.2151,              0.0011263,              0.0011263,              0.0011263
                      5,                 1.9713,                 1.4882,                 1.2125,                0.71288,                0.87969,                0.85024,                 0.3887,                 1.8122,                 1.1284,                  1.148,               0.001085,               0.001085,               0.001085
                      6,                 1.9238,                 1.3801,                 1.1955,                0.91198,                0.85116,                0.94386,                0.47064,                 1.6893,                0.96549,                 1.1097,              0.0010438,              0.0010438,              0.0010438
                      7,                 1.8717,                 1.2697,                 1.1708,                0.90265,                0.90058,                0.95913,                0.50036,                 1.6628,                0.93447,                 1.0954,              0.0010025,              0.0010025,              0.0010025
                      8,                 1.8464,                 1.1929,                 1.1598,                0.91416,                0.90431,                0.95874,                0.45696,                 1.6887,                0.91234,                 1.1104,             0.00096125,             0.00096125,             0.00096125
                      9,                 1.8139,                 1.1398,                 1.1463,                0.93031,                0.93409,                0.96916,                0.49637,                 1.6793,                0.88788,                 1.1048,                0.00092,                0.00092,                0.00092
                     10,                 1.7951,                 1.0776,                 1.1352,                0.93968,                0.91844,                0.96927,                0.50523,                 1.6336,                0.86238,                 1.0865,             0.00087875,             0.00087875,             0.00087875
                     11,                 1.7658,                 1.0338,                 1.1241,                0.94155,                0.94194,                0.97674,                0.55103,                 1.5586,                0.80482,                 1.0548,              0.0008375,              0.0008375,              0.0008375
                     12,                 1.7491,                 1.0063,                 1.1237,                0.95293,                0.94692,                0.97934,                0.54517,                 1.5429,                0.75121,                 1.0537,             0.00079625,             0.00079625,             0.00079625
                     13,                 1.7453,                0.97386,                 1.1187,                0.94442,                0.93962,                0.97787,                 0.5433,                 1.5571,                0.74225,                 1.0487,               0.000755,               0.000755,               0.000755
                     14,                 1.7167,                0.94424,                 1.1067,                0.92447,                0.96465,                0.97812,                0.53598,                 1.5903,                0.75437,                 1.0663,             0.00071375,             0.00071375,             0.00071375
                     15,                 1.7176,                0.92405,                 1.1021,                0.93406,                 0.9736,                0.98321,                0.54978,                 1.5589,                 0.7352,                   1.06,              0.0006725,              0.0006725,              0.0006725
                     16,                 1.6812,                0.89988,                  1.092,                0.93868,                0.94645,                  0.979,                0.54795,                 1.5876,                0.74292,                 1.0606,             0.00063125,             0.00063125,             0.00063125
                     17,                 1.6917,                0.89779,                 1.0935,                0.95408,                0.95852,                0.98227,                0.55628,                 1.5226,                0.70552,                 1.0448,                0.00059,                0.00059,                0.00059
                     18,                 1.6749,                0.87407,                 1.0926,                0.94011,                0.97452,                0.98028,                0.55429,                 1.5069,                0.69804,                 1.0391,             0.00054875,             0.00054875,             0.00054875
                     19,                 1.6826,                0.86571,                 1.0921,                0.94303,                0.97178,                0.98396,                0.56235,                 1.5398,                 0.7073,                 1.0454,              0.0005075,              0.0005075,              0.0005075
                     20,                 1.6544,                0.84654,                 1.0793,                0.94844,                 0.9663,                0.98272,                0.57267,                 1.4844,                0.69224,                 1.0273,             0.00046625,             0.00046625,             0.00046625
                     21,                 1.5345,                0.73533,                 1.0729,                0.95092,                0.96755,                0.98175,                0.56404,                 1.5351,                0.68849,                 1.0406,               0.000425,               0.000425,               0.000425
                     22,                  1.529,                0.72673,                 1.0649,                0.95328,                0.96347,                0.98466,                0.57864,                  1.471,                0.66656,                 1.0186,             0.00038375,             0.00038375,             0.00038375
                     23,                 1.5015,                0.70032,                 1.0581,                 0.9431,                0.98089,                0.98609,                0.58069,                 1.4964,                0.66604,                 1.0277,              0.0003425,              0.0003425,              0.0003425
                     24,                 1.5034,                0.69089,                 1.0599,                 0.9553,                 0.9698,                 0.9864,                0.58912,                 1.4753,                0.64476,                 1.0188,             0.00030125,             0.00030125,             0.00030125
                     25,                 1.4999,                0.68205,                 1.0585,                0.95646,                0.96334,                 0.9861,                0.58916,                 1.4842,                0.65981,                 1.0252,                0.00026,                0.00026,                0.00026
                     26,                 1.4829,                0.66742,                 1.0541,                0.95691,                0.97678,                0.98734,                0.58885,                 1.4667,                0.64183,                 1.0145,             0.00021875,             0.00021875,             0.00021875
                     27,                  1.481,                0.66058,                 1.0473,                 0.9503,                0.97876,                0.98631,                0.60254,                 1.4461,                 0.6327,                  1.009,              0.0001775,              0.0001775,              0.0001775
                     28,                 1.4689,                 0.6544,                 1.0489,                0.94644,                0.98124,                0.98605,                0.59506,                 1.4674,                0.62898,                 1.0181,             0.00013625,             0.00013625,             0.00013625
                     29,                 1.4572,                0.64487,                 1.0403,                0.95236,                0.97561,                0.98715,                0.60294,                 1.4493,                0.62132,                  1.011,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                 1.4548,                0.64158,                 1.0372,                0.95066,                0.97639,                0.98737,                0.60606,                 1.4504,                0.61996,                 1.0099,              5.375e-05,              5.375e-05,              5.375e-05
